transaction_id,date,customer_id,age_group,gender,region,income_bracket,category_l1,category_l2,category_l3,retailer,brand,product_name,quantity,price
1,2024-07-23,C3651,65+,Non-binary,West,$75k-$99k,Electronics,Mobile Devices,Smartwatches,Target,Bose,Bose Apple Watch,2,1087.05
2,2024-06-18,C8237,25-34,Male,Southeast,$25k-$49k,Apparel & Accessories,Clothing,Dresses,Lowes,Coach,Coach Summer Maxi,2,73.31
3,2024-07-29,C8519,18-24,Male,Southwest,$25k-$49k,Home & Garden,Decor,Wall Art,The Home Depot,Traeger,Traeger Photo Frames,3,133.78
4,2024-06-19,C9030,35-44,Female,Midwest,$150k+,Home & Garden,Furniture,Dining Room,Dicks,Scotts,Scotts Chair Set,3,665.27
5,2024-03-18,C7914,65+,Female,Southeast,$25k-$49k,Electronics,Computers,Laptops,Best Buy,Sony,Sony ThinkPad X1,2,746.16
6,2024-12-10,C6385,25-34,Non-binary,Southwest,$75k-$99k,Home & Garden,Furniture,Dining Room,Target,Scotts,Scotts Dining Table,3,750.08
7,2024-08-14,C3234,65+,Non-binary,West,$50k-$74k,Home & Garden,Decor,Lighting,Walmart,Ashley,Ashley Pendant Light,3,881.94
8,2024-06-21,C7807,35-44,Female,Northeast,$50k-$74k,Home & Garden,Furniture,Living Room,Lowes,Traeger,Traeger TV Stand,3,361.78
9,2024-02-20,C6191,45-54,Female,Southwest,$100k-$149k,Home & Garden,Decor,Wall Art,Walmart,Nexgrill,Nexgrill Canvas Print,2,602.22
10,2024-05-31,C4577,55-64,Female,Southeast,$50k-$74k,Electronics,Mobile Devices,Smartphones,Walmart,Dell,Dell Pixel 8,3,1436.96
11,2024-03-11,C2978,65+,Male,Southeast,$50k-$74k,Home & Garden,Furniture,Dining Room,Lowes,Weber,Weber Buffet,1,463.78
12,2024-10-05,C2868,18-24,Male,West,$50k-$74k,Apparel & Accessories,Shoes,Casual,Best Buy,Nike,Nike Slip-on Sneakers,1,259.42
13,2024-10-13,C1467,55-64,Female,Southeast,$50k-$74k,Apparel & Accessories,Clothing,Bottoms,Best Buy,Nike,Nike Slim Fit Jeans,2,48.75
14,2024-05-13,C9821,65+,Female,West,$75k-$99k,Apparel & Accessories,Accessories,Jewelry,Target,Coach,Coach Silver Necklace,1,46.63
15,2024-03-09,C7478,65+,Non-binary,Northeast,$75k-$99k,Home & Garden,Appliances,Laundry,Lowes,Weber,Weber Dryer,2,678.06
16,2024-01-30,C7368,45-54,Non-binary,West,$50k-$74k,Apparel & Accessories,Accessories,Jewelry,Lowes,Cole Haan,Cole Haan Gold Bracelet,1,20.45
17,2024-10-06,C7822,18-24,Female,West,$100k-$149k,Home & Garden,Appliances,Kitchen,Lowes,Scotts,Scotts Microwave,3,353.99
18,2024-08-14,C1243,55-64,Non-binary,Northeast,$75k-$99k,Home & Garden,Decor,Lighting,The Home Depot,Weber,Weber Floor Lamp,2,188.34
19,2024-06-09,C7159,18-24,Non-binary,Midwest,$150k+,Home & Garden,Decor,Rugs,Walmart,Scotts,Scotts Runner,2,306.22
20,2024-04-05,C1421,45-54,Non-binary,Southeast,$100k-$149k,Home & Garden,Appliances,Laundry,Target,Weber,Weber Washer,3,95.83
21,2024-07-20,C1976,65+,Non-binary,Southeast,$25k-$49k,Apparel & Accessories,Clothing,Dresses,Dicks,Adidas,Adidas Evening Gown,1,58.59
22,2024-09-23,C5430,65+,Female,West,$75k-$99k,Apparel & Accessories,Clothing,Bottoms,Dicks,Coach,Coach Athletic Shorts,1,68.13
23,2024-08-13,C7600,35-44,Non-binary,Southwest,$50k-$74k,Apparel & Accessories,Accessories,Bags,The Home Depot,Cole Haan,Cole Haan Backpack,2,149.36
24,2024-04-29,C8469,65+,Non-binary,Midwest,$50k-$74k,Electronics,Mobile Devices,Smartwatches,Target,Apple,Apple Galaxy Watch,2,1469.57
25,2024-01-31,C8363,45-54,Non-binary,Southeast,$100k-$149k,Apparel & Accessories,Clothing,Bottoms,Target,Nike,Nike Slim Fit Jeans,3,115.25
26,2024-03-30,C2952,45-54,Male,West,$100k-$149k,Apparel & Accessories,Shoes,Casual,The Home Depot,Coach,Coach Slip-on Sneakers,1,88.02
27,2024-07-12,C9410,25-34,Non-binary,West,$75k-$99k,Home & Garden,Decor,Wall Art,Walmart,Ashley,Ashley Mirrors,1,309.03
28,2024-08-24,C3702,45-54,Non-binary,Northeast,$150k+,Apparel & Accessories,Shoes,Formal,Best Buy,Coach,Coach Oxford Shoes,2,90.8
29,2024-06-22,C4407,55-64,Non-binary,West,$25k-$49k,Electronics,Audio,Speakers,Best Buy,Sony,Sony Echo Studio,2,1154.99
30,2024-02-21,C2699,18-24,Female,Midwest,$25k-$49k,Home & Garden,Decor,Lighting,Walmart,Ashley,Ashley Floor Lamp,3,381.14
31,2024-11-07,C8171,65+,Female,Northeast,$100k-$149k,Apparel & Accessories,Shoes,Casual,The Home Depot,Nike,Nike Canvas Shoes,1,42.07
32,2024-12-16,C2126,35-44,Female,Southeast,$150k+,Home & Garden,Decor,Wall Art,Target,Scotts,Scotts Canvas Print,2,186.05
33,2024-01-06,C8228,65+,Male,Northeast,$100k-$149k,Electronics,Computers,Desktops,Lowes,Apple,Apple iMac,2,958.68
34,2024-07-14,C4454,18-24,Female,Southeast,$75k-$99k,Home & Garden,Furniture,Dining Room,Lowes,Ashley,Ashley Bar Stools,3,407.46
35,2024-09-01,C6817,35-44,Male,Northeast,$150k+,Home & Garden,Appliances,Kitchen,The Home Depot,Nexgrill,Nexgrill Microwave,3,774.82
36,2024-08-31,C7060,65+,Male,West,$100k-$149k,Apparel & Accessories,Accessories,Jewelry,Lowes,Coach,Coach Watch,3,85.01
37,2024-07-28,C9770,35-44,Female,West,$50k-$74k,Electronics,Mobile Devices,Smartwatches,The Home Depot,Bose,Bose Garmin,2,1062.03
38,2024-02-04,C7906,18-24,Male,Southwest,$100k-$149k,Home & Garden,Appliances,Kitchen,Walmart,Nexgrill,Nexgrill Refrigerator,2,439.1
